Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,ECTOPIC EXPRESSION (NOT IN AWA) TRUE/FALSE,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 8.Project Maximum Z_XY1633103650_Z0_T0_merged.tif:2,97.914,4904.721,2303,1872,29431,480242.815,3334,10721721,2,1233.312,,,3671.409,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 8.Project Maximum Z_XY1633103650_Z0_T0_merged.tif:2,70.278,3644.279,2245,1853,24451,256112.606,3068,5717874,2,1233.312,,,2410.967,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1632244553_Z0_T0_merged.tif:2,52.63,5630.962,3828,3142,17616,296358.109,5311,6616380,2,1983.889,,,3647.073,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1632244553_Z0_T0_merged.tif:2,54.825,5624.583,4367,3511,17604,308367.179,5102,6884490,2,1983.889,,,3640.694,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 1.Project Maximum Z_XY1632244611_Z0_T0_merged.tif:2,41.163,2487.605,2361,1926,3675,102398.432,2453,2286109,2,1315.288,,,1172.317,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 1.Project Maximum Z_XY1632244611_Z0_T0_merged.tif:2,40.626,3346.966,2423,2036,6831,135973.707,3210,3035698,2,1315.288,,,2031.678,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 2.Project Maximum Z_XY1632244772_Z0_T0_merged.tif:2,70.681,3826.368,2781,2206,11565,270451.958,3727,6038009,2,1398.52,,,2427.848,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 2.Project Maximum Z_XY1632244772_Z0_T0_merged.tif:2,56.393,4123.863,2674,2209,11657,232555.371,3772,5191944,2,1398.52,,,2725.343,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1632244878_Z0_T0_merged.tif:2,46.359,3432.513,2596,2030,33619,159128.849,3075,3552651,2,1340.408,,,2092.105,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1632244878_Z0_T0_merged.tif:2,49.316,3159.606,2320,1944,6510,155817.631,3155,3478726,2,1340.408,,,1819.198,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1632245003_Z0_T0_merged.tif:2,72.697,5930.82,2963,2174,28478,431151.244,4650,9625721,2,1328.389,,,4602.431,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 5.Project Maximum Z_XY1632245062_Z0_T0_merged.tif:2,45.643,3582.961,3098,2146,8394,163535.713,3468,3651037,2,1297.216,,,2285.745,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 5.Project Maximum Z_XY1632245062_Z0_T0_merged.tif:2,52.764,3122.746,3015,1955,5494,164770.079,3124,3678595,2,1297.216,,,1825.53,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 6.Project Maximum Z_XY1632245126_Z0_T0_merged.tif:2,45.508,3608.152,2739,2172,7783,164200.644,3380,3665882,2,1331.78,,,2276.372,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 6.Project Maximum Z_XY1632245126_Z0_T0_merged.tif:2,49.719,3982.238,4182,2375,7640,197991.501,4006,4420284,2,1331.78,,,2650.458,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 7.Project Maximum Z_XY1632245209_Z0_T0_merged.tif:2,46.942,3877.947,3587,2569,6971,182036.919,3748,4064088,2,1572.622,,,2305.325,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 7.Project Maximum Z_XY1632245209_Z0_T0_merged.tif:2,50.883,4111.493,3001,2313,11759,209206.058,3955,4670656,2,1572.622,,,2538.871,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 8.Project Maximum Z_XY1632245267_Z0_T0_merged.tif:2,70.771,4368.859,3247,2103,15475,309187.178,4070,6902797,2,1330.414,,,3038.445,,,,,,,,,,,,,,,,,,,,,,
20210921,PHX2465,srd-27,Control,NGM,20210921_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 8.Project Maximum Z_XY1632245267_Z0_T0_merged.tif:2,56.751,4394.743,3087,2021,18800,249405.739,3958,5568139,2,1330.414,,,3064.329,,,,,,,,,,,,,,,,,,,,,,
20211012,PHX2465,srd-27,Control,NGM,20211012_PHX2465_srd-27-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1634058466_Z0_T0_merged.tif:2,48.241,3537.778,3811,1904,10831,170664.293,3313,3810187,2,1287.127,,,2250.651,,,,,,,,,,,,,,,,,,,,,,
20211012,PHX2465,srd-27,Control,NGM,20211012_PHX2465_srd-27-t2A-mNG_TKR01_control_adult.Project Maximum Z_XY1634058466_Z0_T0_merged.tif:2,58.095,3547.459,2517,1941,9394,206088.475,3307,4601054,2,1287.127,,,2260.332,,,,,,,,,,,,,,,,,,,,,,
20211012,PHX2465,srd-27,Control,NGM,20211012_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 1.Project Maximum Z_XY1634058538_Z0_T0_merged.tif:2,52.809,3188.549,2232,2000,7541,168384.939,3040,3759299,2,1319.55,,,1868.999,,,,,,,,,,,,,,,,,,,,,,
20211012,PHX2465,srd-27,Control,NGM,20211012_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 1.Project Maximum Z_XY1634058538_Z0_T0_merged.tif:2,34.937,3067.727,2216,2035,5499,107178.5,2991,2392827,2,1319.55,,,1748.177,,,,,,,,,,,,,,,,,,,,,,
20211012,PHX2465,srd-27,Control,NGM,20211012_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 2.Project Maximum Z_XY1634058615_Z0_T0_merged.tif:2,51.018,3081.068,2299,1905,7600,157188.746,2822,3509337,2,1334.798,,,1746.27,,,,,,,,,,,,,,,,,,,,,,
20211012,PHX2465,srd-27,Control,NGM,20211012_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1634058696_Z0_T0_merged.tif:2,39.685,3378.578,3141,1852,16781,134080.009,2914,2993420,2,1307.664,,,2070.914,,,,,,,,,,,,,,,,,,,,,,
20211012,PHX2465,srd-27,Control,NGM,20211012_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 3.Project Maximum Z_XY1634058696_Z0_T0_merged.tif:2,46.314,3178.687,3091,1813,9111,147219.26,3081,3286762,2,1307.664,,,1871.023,,,,,,,,,,,,,,,,,,,,,,
20211012,PHX2465,srd-27,Control,NGM,20211012_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1634058783_Z0_T0_merged.tif:2,58.543,3912.624,2254,1906,12547,229055.178,3798,5113800,2,1381.924,,,2530.7,,,,,,,,,,,,,,,,,,,,,,
20211012,PHX2465,srd-27,Control,NGM,20211012_PHX2465_srd-27-t2A-mNG_TKR01_control_adult - 4.Project Maximum Z_XY1634058783_Z0_T0_merged.tif:2,53.929,2840.17,2236,1796,5956,153167.716,2757,3419565,2,1381.924,,,1458.246,,,,,,,,,,,,,,,,,,,,,,
