	X6665	X6666	X6667	X6668	X6669	X6670	X6671	X6672	X6673	X6674	X6675	X6676	D22_243	D22_244	D22_245	D22_246
F16B4.6	0	0	0	19.8044656549804	12.4776257153789	4.98788485734949	0	0	0	13.2373523777008	9.55609448064015	11.7730803883262	5.84085834567762	0	0	2367.15435596816
F16C3.1	0	9.67652162403545	11637.4317923104	45.0454512936809	32.2950312633335	28.2646808583138	5358.87593701347	0	0	53.8034322448483	10.8302404113922	18.1501655986696	0	0	1139.76957783573	0
F16C3.2	0	32.2550720801182	0	1201.47091640214	514.763225591316	896.156646037124	0	0	1.83376632534248	1069.2364630246	253.555040219652	869.245768671418	0	726.038912606541	0.611464365791703	0
F16C3.4	1929.37095908532	0	0	124.651636769582	93.7045225292177	125.251330862332	0	0	1.83376632534248	20.4965456170851	63.070223572225	107.919903559657	0	0	0	0
F16F9.3	0	0	0	152.999205256123	88.5666766464147	62.6256654311658	0	1062.88559947658	1.83376632534248	248.520615607156	120.406790456066	126.560614174507	0	0	0	0
F16F9.4	0	3.22550720801182	0	413.952164474688	338.853168937249	671.701827456397	0	6040.52717144393	0	555.54178849641	319.173555653381	425.793074044465	0	0	0	0
F16H9.4	0	0	0	1.94161427990004	8.56307647133843	4.98788485734949	0	0	0	8.96723870747472	3.82243779225606	8.3392652750644	0.584085834567762	0	31.7961470211686	0
F17A9.2	1.93711943683265	0	10.463434447321	167.367150927383	254.201041534875	152.961802292051	12.3952411804475	27.8080534746779	0	183.61488781972	187.299451820547	205.538361779528	0	0	44.9426308856902	0
F17A9.4	1.93711943683265	0	498.059479692479	4735.59722867619	1345.87096196665	1420.43876548741	4805.22183095348	1838.42131304815	1.83376632534248	4250.89815871004	2892.94833577246	2459.10216611164	0	0	0	0
F17A9.7	0	0	0	278.039164881686	42.0814043734346	26.6020525725306	563.294849200337	0	0	90.5264098087924	190.484816647427	79.4682926212019	0	0	0	0
F17B5.1	3.87423887366529	3.22550720801182	408.073943445518	611.608498168512	720.766379558944	370.766107729645	0	0	3.66753265068497	3350.33118565936	1156.92450512283	2662.67834782644	0	0	65.7324193226081	1.8211681458441
F17C11.11	13807.7873457431	7825.08048663667	18706.5281049204	14570.6502020818	5080.84025943672	8901.15763265446	22592.3929248957	9182.83721408254	1136.93512171234	21902.2670373235	8505.56116073511	12001.6743658662	9608.21197863969	9172.61717391702	1.52866091447926	0
F17C11.12	2258.68126334687	0	0	1960.25377698708	1401.89794802198	1427.08927863055	0	0	1.83376632534248	2343.01137085304	1175.39962111874	1480.46485883202	0	0	0	0
F17C11.13	1849.94906217518	0	0	171.250379487183	120.372389254243	77.5893200032142	0	0	0	268.590149857219	61.1590046760969	194.255826407382	0	0	0	0
F17C11.2	0	0	629.898753728723	187.171616582364	173.952782032046	124.142912005143	0	2165.93838730547	3126.57158470893	224.180967686868	132.51117679821	144.710779773176	0	539.91682962893	2399.99763573244	0.36423362916882
F17C11.22	0	0	2936.03970591827	188.336585150304	87.343380007652	50.4330580020893	0	0	0	93.088478010928	138.88190645197	154.031135080601	2570.56175793272	0	0	0
F17C11.4	1.93711943683265	3.22550720801182	3971.91971620304	4414.45422678073	1793.35287242602	3120.1990829864	6236.18356278515	4696.47125350116	6089.93796646238	7458.60754778385	3486.06326653753	4715.11869552465	4.08860084197434	0	14846.3548014226	8872.73120655245
F17C11.6	61.9878219786447	0	0	251.244887819065	247.83989901331	329.754610013661	0	0	0	352.28437779365	184.751159959043	381.153477572061	0	519.025575417157	1868.63510185945	0
