,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
abf-6,986.9427074,-0.672945225,2.400208811,-0.280726904,0.778919872,0.988447238
abhd-11.2,306.5673342,5.85145638,2.406202013,2.450212205,NA,NA
abhd-12,283.816775,-0.769031259,2.378257626,-0.323397251,0.746394411,0.988447238
abhd-5.2,333.9377733,2.359765088,2.400660097,0.984229236,NA,NA
abi-1,1.451562153,-2.442600333,2.295422217,-1.091224237,0.275174226,NA
abl-1,1231.826732,-9.535340965,2.420270292,-4.047535627,NA,NA
abt-2,431.3874465,0.326154754,2.400321269,0.135890041,NA,NA
abt-4,304.828738,4.483317259,2.402431942,1.87558814,NA,NA
abt-5,565.7450437,10.00869415,2.451570737,4.647956332,NA,NA
abts-1,3802.30805,0.269538219,1.994653357,0.135146935,0.892495702,0.993932324
abts-3,1632.002493,-0.344316053,2.400169666,-0.143443564,NA,NA
abu-1,263.1775019,-1.053781996,2.400496243,-0.439144095,NA,NA
abu-10,357.8824272,8.190344865,2.427927797,3.447667099,NA,NA
abu-11,78.23541285,-5.353960847,2.415213178,-2.231916868,NA,NA
abu-12,761.8440697,-5.966051647,2.310470436,-2.598982125,0.009350064,0.044494013
abu-13,4762.496804,-1.709140881,1.840586972,-0.928668255,0.353061037,0.775278612
abu-14,1820.56386,-1.708041382,2.400184955,-0.712197116,0.476342722,0.89774578
abu-15,100.4265285,8.150989089,2.455296163,7.740814425,NA,NA
abu-8,9.373231076,-4.123105562,2.253876318,-1.809272963,NA,NA
acaa-2,655.8996344,0.224913031,2.185602086,0.102926816,0.918021055,0.995457406
acbp-1,1000.095168,-1.838122843,1.599871976,-1.148958316,0.250573169,0.630609143
acbp-3,184.6042293,-0.793594175,2.400624915,-0.330651393,0.740907821,0.988447238
acc-4,169.7588859,-8.869788687,2.453336514,-8.727861504,NA,NA
acd-3,216.9326569,-9.15070312,2.452934145,-8.837457281,NA,NA
acd-5,214.9052495,-7.665494153,2.428910253,-3.221710282,NA,NA
acdh-1,16108.35589,1.922401845,1.435171581,1.339534736,0.180396654,0.495617399
acdh-10,1332.221952,-1.322592215,2.400197397,-0.551287431,0.581436653,0.963116989
acdh-11,211.4777788,8.211407585,2.443658269,3.540283778,NA,NA
acdh-12,682.0175842,3.573365953,2.400674172,1.493746259,0.135241953,0.403704727
acdh-13,33.49043536,4.736573805,2.246560184,2.115160303,NA,NA
acdh-2,34.75603353,6.932413276,2.457796067,7.681110269,NA,NA
acdh-3,878.8821933,1.523380382,2.400254268,0.635085311,NA,NA
acdh-4,29.71082985,-6.429736488,2.261615455,-2.948239282,0.003195896,0.017094124
acdh-5,178.4951627,-8.927248735,2.453252394,-8.749328696,NA,NA
acdh-6,58.28665971,-0.201448212,2.401610158,-0.083891657,0.933142573,0.99561292
acdh-7,133.5827049,-6.778120405,2.424514633,-2.82283794,NA,NA
acdh-8,164.550611,-6.563275449,2.395192371,-2.74894506,0.005978741,0.029525202
acdh-9,1193.836378,0.597003898,1.976996357,0.301992477,0.762657798,0.988447238
acds-10,239.8408032,1.323827937,2.400585698,0.551742959,NA,NA
ace-3,30.32112589,6.779401098,2.458174489,7.672349301,NA,NA
acer-1,1650.927155,-1.714402349,2.104374897,-0.814899764,0.415129688,0.841568699
acin-1,339.6951554,-6.227595907,2.215933328,-2.817394698,NA,NA
acl-12,345.4592807,-8.795302662,2.438391555,-3.803382274,NA,NA
acl-13,39.08165068,-7.182274857,2.456382503,-8.033062579,NA,NA
acl-14,416.6337537,8.032252744,2.421623785,3.367484494,NA,NA
acl-2,418.2135944,-1.409688837,2.400383797,-0.587553719,0.556831884,0.952973834
