,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
186,F40F12.7,40.49669888,-7.224830673,2.456287089,-7.9097399,2.58E-15,3.86E-14
187,F40F8.11,32.42664426,-6.971536477,2.456875154,-7.979642172,1.47E-15,2.26E-14
188,F41C3.4,274.8516396,9.306267435,2.453473567,8.691008287,3.59E-18,9.17E-17
189,F41E7.1,205.4797645,-9.088482264,2.453021408,-8.814643422,1.20E-18,3.80E-17
190,F41G3.5,387.9819595,5.473235305,2.403789038,2.296400002,0.021653021,0.092816086
191,F42A10.9,317.5926176,-6.024592932,2.406255213,-2.523079608,0.011633206,0.053542752
192,F42A8.1,468.9538307,-8.428509125,2.42346255,-3.540677406,0.000399101,0.002687601
193,F43H9.4,139.6587272,-8.645539406,2.453674192,-8.640301728,5.61E-18,1.34E-16
194,F44E2.3,221.5157732,-9.174980611,2.452900372,-8.846297516,9.05E-19,2.94E-17
195,F45E1.4,297.2798314,-8.62681165,2.439012911,-3.731073803,0.000190665,0.001470633
196,F45F2.9,83.80896159,-7.387107726,2.447181197,-3.248900785,0.001158519,0.006847931
197,F46A8.13,13599.08217,4.627799751,2.124580352,2.183175032,0.029022923,0.119188279
198,F46A8.7,2150.565897,4.642288471,2.065330722,2.251699454,0.024341271,0.102646435
199,F46C5.10,221.258882,-6.133775915,2.409593314,-2.576496302,0.009980727,0.047040018
200,F46F11.7,405.442134,8.4841778,2.284195917,3.718903971,0.000200089,0.001522383
201,F46F3.3,695.5535079,-6.661401025,2.404587422,-2.801961329,0.005079296,0.025931491
202,F47G9.1,214.1579511,8.226171682,2.443596174,3.546488433,0.000390402,0.002656357
203,F48D6.4,703.5586418,-5.350705912,1.808895472,-2.96023501,0.003074044,0.016532464
204,F48F7.6,296.9485726,9.395349074,2.453347964,8.305552448,9.94E-17,1.80E-15
205,F49E10.4,54.71447713,7.279045271,2.455147979,3.533037117,0.000410815,0.00274763
206,F52C12.6,72.5882624,-7.89477534,2.45493481,-8.343114337,7.24E-17,1.33E-15
207,F53A9.6,264.2358254,-8.718159388,2.443762401,-3.800777901,0.000144243,0.001174888
208,F53A9.8,268.5044052,9.279494374,2.453511662,8.388086236,4.94E-17,9.56E-16
209,F53E10.1,169.9065266,-6.266607357,2.41360849,-2.608086377,0.009104998,0.043486886
210,F53F1.6,28.61771736,-6.826985882,2.457234242,-7.919601435,2.38E-15,3.58E-14
211,F54C8.1,153.7197005,-8.755665653,2.45350641,-3.674857499,0.000237982,0.001749659
212,F54D5.12,177.0237158,-5.678597648,2.408653622,-2.376146481,0.017494516,0.077085826
213,F54D5.7,194.8531985,-7.00620834,2.227465399,-3.160005271,0.001577663,0.008976673
214,F54F11.6,18.07237887,6.182905403,2.459853667,7.430917068,1.08E-13,1.53E-12
215,F54H5.5,7.898125575,-4.624552543,2.456019799,-1.972559176,0.048545808,0.183967995
216,F55A3.2,229.0053291,8.818493005,2.451890578,3.979223582,6.91E-05,0.000616924
217,F55B11.2,654.4681746,7.813007747,2.404377746,3.298757413,0.000971138,0.005838725
218,F55C12.5,1040.937846,-9.360145653,2.083960103,-4.47177589,7.76E-06,8.58E-05
219,F56B3.11,513.796386,-6.572876322,2.40577788,-2.770453808,0.005597824,0.02801876
220,F57B10.5,190.9080392,4.851864759,2.138729083,2.272850775,0.023035174,0.09776875
221,F58B3.6,137.6877577,-7.292196299,2.134503965,-3.428228341,0.000607534,0.003859514
222,F58G1.3,683.0664173,-9.767004048,2.439108133,-4.256711483,2.07E-05,0.000213212
223,F58G6.7,205.6573349,-9.08930827,2.453020243,-8.812572192,1.22E-18,3.84E-17
224,F59A2.2,195.8087404,-4.057189203,1.887476487,-2.150067599,0.031549868,0.128091812
225,F59A2.5,219.5094471,-4.112821476,2.068454122,-1.989789467,0.046614132,0.178195796
226,F59A7.2,220.8509787,9.335986093,2.327374109,4.088539901,4.34E-05,0.000407719
227,H05C05.2,275.5294915,8.594620664,2.444116161,3.714140417,0.000203896,0.001545355
228,H06I04.6,219.4585921,-8.511332675,2.444727551,-3.711581641,0.000205968,0.00155688
229,H10E21.5,228.9882507,9.096941627,2.45377602,8.607234596,7.48E-18,1.71E-16
230,H14E04.3,45.31438452,6.904528953,2.454290851,3.205361687,0.001348929,0.00782259
231,H28G03.1,1523.465858,6.722150632,2.402441693,2.836152812,0.004566059,0.023587301
232,H28G03.2,629.0990667,5.031053354,2.401770857,2.11013747,0.034846517,0.140142265
233,K01G5.5,939.9244481,-3.881465695,1.775708501,-2.186490225,0.028779759,0.118313439
234,K02B12.9,1389.902749,7.974886154,2.406461629,3.368824971,0.000754893,0.004711784
235,K02F6.3,53.60618558,-6.708241312,2.446444031,-2.904834141,0.003674478,0.019389784
236,K04A8.1,556.0893163,-9.327781815,2.436482661,-4.032694973,5.51E-05,0.000506986
237,K04F10.1,413.4545769,9.776063752,2.452831202,8.880085903,6.68E-19,2.45E-17
238,K05F1.9,104.3998346,-5.365788535,2.152871354,-2.489092356,0.012806969,0.058465304
239,K07A1.4,1037.843341,9.80940052,2.431414136,4.145780367,3.39E-05,0.000326676
240,K07A12.4,613.6648358,-10.02388342,2.407361417,-4.444361515,8.82E-06,9.64E-05
241,K07C11.8,798.5563936,9.07918575,2.310444554,3.965861541,7.31E-05,0.000646652
242,K08F11.7,8.20082602,-5.401748302,2.462198434,-2.273127098,0.023018522,0.09776875
243,K09F6.3,75.07815734,-5.43428096,2.380436478,-2.302921151,0.02128328,0.09182215
244,K09G1.2,15.52749766,-6.126529392,2.459284973,-2.577748323,0.00994464,0.04692627
245,K10C8.4,480.1550519,7.721939087,2.41514026,3.225887636,0.001255826,0.007336867
246,K10D11.5,34.25541237,-7.031915171,2.456730427,-2.956506862,0.003111453,0.016710759
247,K10D3.4,4712.744164,8.984344304,1.991650613,4.525487878,6.03E-06,6.88E-05
248,K11D2.1,445.9629787,-9.966472477,2.451246888,-8.971436822,2.93E-19,1.34E-17
249,K11G12.6,1023.727706,-9.959445687,2.43243683,-4.210590632,2.55E-05,0.000252517
250,M01F1.3,223.7317452,6.550980123,2.413816033,2.75008615,0.00595796,0.029459635
251,M01F1.4,76.13059524,-7.949725576,2.454834629,-8.365793584,5.97E-17,1.14E-15
252,M03F8.3,391.88827,7.870699494,2.420461182,3.301291203,0.000962409,0.005804023
253,M04B2.6,133.0930026,-8.590550357,2.453759425,-8.282302277,1.21E-16,2.12E-15
254,M04C3.1,1173.938631,5.968891078,2.401859785,2.511376853,0.012026124,0.055028627
255,M04F3.4,308.1177913,9.437988856,2.453288562,8.744409556,2.24E-18,6.18E-17
256,R01B10.7,47.0048847,7.279962004,2.456999139,7.395372952,1.41E-13,2.00E-12
257,R02D5.8,12.99111399,5.073923766,2.454713722,2.161639948,0.03064594,0.125068565
258,R04E5.9,299.1809869,-9.274833845,2.449071857,-4.255752615,2.08E-05,0.000213569
259,R05D3.9,758.6093977,9.632894246,2.437343479,4.154807807,3.26E-05,0.000314816
260,R05F9.9,316.5064159,-9.584941574,2.452351966,-8.666031473,4.47E-18,1.08E-16
261,R07C3.13,245.4659393,-7.343364584,2.420353004,-3.081476142,0.00205977,0.011470435
262,R08A2.5,829.1742036,-9.618574783,2.306829618,-4.268331891,1.97E-05,0.000204547
263,R107.5,224.9935783,-7.378668228,2.422675855,-3.078726279,0.002078876,0.011554141
264,R10H10.4,160.6088397,-8.805061505,2.453432383,-8.701150172,3.29E-18,8.66E-17
265,R11D1.3,888.765226,10.65645967,2.45174426,9.233500664,2.62E-20,2.45E-18
266,R11F4.3,335.7689087,-9.510466871,2.325412475,-4.362340531,1.29E-05,0.000137654
267,R11G1.2,304.3728615,-9.53980757,2.452410415,-8.992243753,2.42E-19,1.15E-17
268,R12C12.5,114.9018355,7.130514924,2.439003551,2.999706398,0.0027024,0.014694766
269,R12C12.6,453.6329697,-9.984970086,2.451172955,-9.174081523,4.55E-20,3.36E-18
270,R13D11.4,200.0223278,-9.057894826,2.453064683,-8.592089363,8.54E-18,1.92E-16
271,R13H4.2,47.60778585,-5.297939029,2.183841051,-2.426340924,0.015251935,0.068481364
272,R13H7.2,861.1028356,10.62007315,2.451786503,9.219333272,2.99E-20,2.55E-18
273,R144.10,61.69294614,-7.707691364,2.455286968,-7.755600032,8.79E-15,1.27E-13
274,R166.2,536.2999781,-10.07017873,2.178697958,-4.56516513,4.99E-06,5.85E-05
275,R186.3,245.7433959,-9.294059942,2.452736906,-3.89891005,9.66E-05,0.000830101
276,R186.8,237.7340415,8.2265005,2.440832718,3.483287108,0.000495297,0.0032113
277,T01D1.3,14.38448981,-6.042786533,2.459572768,-2.542199076,0.011015741,0.051302254
278,T01H3.3,466.6469254,-9.347993071,2.440920665,-4.07382563,4.62E-05,0.000431274
279,T04A6.1,1505.353061,9.548390703,2.342367071,4.139064707,3.49E-05,0.000334742
280,T04A8.6,163.5515487,-8.292129237,2.408109689,-3.409678096,0.000650396,0.004118475
281,T04B8.5,30.80853024,-5.11272226,2.187823268,-2.322006279,0.020232598,0.08816113
282,T04C12.8,53.04087868,-7.534734972,2.455629005,-8.16576634,3.19E-16,5.14E-15
283,T04G9.4,510.3868354,-7.102369387,2.408465152,-2.982744728,0.002856762,0.015427298
284,T05A7.7,702.4273184,-10.26382471,2.44668196,-4.714295983,2.43E-06,3.01E-05
285,T05C12.8,883.1100287,10.64906096,2.451752832,8.84869286,8.86E-19,2.92E-17
286,T05C3.6,197.3683726,-7.917955393,2.436542165,-3.333871098,0.000856463,0.0052375
287,T05D4.3,138.2925605,-8.63330469,2.45369307,-8.635339701,5.86E-18,1.37E-16
288,T05F1.11,145.2942198,-7.378008585,2.309535625,-3.228258264,0.001245465,0.007298052
289,T05H10.8,105.106072,-7.193508063,2.438808933,-3.017722373,0.002546821,0.013906564
290,T06E6.10,4.860211377,-4.792833878,2.465660772,-2.018190461,0.043571429,0.169535611
291,T06G6.3,1664.191137,-11.3965377,2.446102096,-9.763390845,1.62E-22,1.06E-19
292,T08B1.1,372.8097882,-8.625753377,2.433409428,-3.710845764,0.000206568,0.00155688
