Date,Strain ID,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Mean 1,Mean 2,Mean 3,Average Background mean fluorescence,CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 7_Project Maximum Z.tif:2,20.907,6797.037,2151,1500,32957,142103.396,3605,7993316,2,1288.343,1262.838,1282.189,1277.79,115388.6405,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 9_Project Maximum Z.tif:2,19.822,6598.665,1556,1432,35394,130800.196,3763,7357511,2,1258.959,1255.98,1283.474,1266.137667,105702.8152,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 10_Project Maximum Z.tif:2,20.373,7087.627,1999,1624,27311,144398.578,4108,8122420,2,1244.058,1371.544,1253.212,1289.604667,118125.4621,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 11_Project Maximum Z.tif:2,21.529,7303.036,2486,1622,38873,157226.258,4099,8843977,2,1271.322,1271.946,1240.716,1261.328,130071.1275,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 12_Project Maximum Z.tif:2,20.178,9119.819,2165,1863,42991,184017.671,7379,10350994,2,1321.675,1319.396,1241.449,1294.173333,157903.8415,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 13_Project Maximum Z.tif:2,19.004,6798.905,2091,1683,28404,129209.404,4865,7268029,2,1245.85,1267.893,1257.866,1257.203,105317.5182,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 14_Project Maximum Z.tif:2,21.938,7799.975,1549,1419,30858,171114.116,5297,9625169,2,1271.983,1250.895,1247.75,1256.876,143540.7703,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD_Project Maximum Z.tif:2,11.627,6322.783,2458,1837,24599,73512.889,4846,4135100,2,1293.782,1271.22,1243.2,1269.400667,58753.56745,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 1_Project Maximum Z.tif:2,15.129,5664.363,1907,1596,23744,85695.52,4345,4820373,2,1276.595,1295.289,1269.582,1280.488667,66323.00696,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 2_Project Maximum Z.tif:2,12.658,7060.954,3102,1850,29399,89375.982,5230,5027399,2,1280.539,1267.096,1262.644,1270.093,73299.14481,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 3_Project Maximum Z.tif:2,8.818,7105.812,4083,1856,28094,62657.476,4452,3524483,2,1398.771,1349.634,1455.269,1401.224667,50301.47689,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 5_Project Maximum Z.tif:2,18.88,6111.181,2193,1524,30814,115379.093,3425,6490074,2,1273.67,1285.058,1249.307,1269.345,91413.8594,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 6_Project Maximum Z.tif:2,13.44,6372.143,3634,1980,22595,85641.6,4706,4817340,2,1280.754,1230.041,1250.156,1253.650333,68792.53952,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 7_Project Maximum Z.tif:2,13.12,5545.192,2551,1677,19949,72752.924,3645,4092352,2,1249.464,1257.024,1268.789,1258.425667,56242.37925,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 8_Project Maximum Z.tif:2,16.96,4505.562,2086,1568,19562,76414.329,3094,4298306,2,1286.17,1286.468,1250.762,1274.466667,54799.37433,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 9_Project Maximum Z.tif:2,6.453,3715.08,2133,1558,9815,23974.649,2496,1348574,2,1258.83,1271.855,1239.098,1256.594333,15865.84577,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 10_Project Maximum Z.tif:2,20.16,8200.67,2420,1731,37013,165325.511,4444,9299560,2,1328.956,1275.43,1232.436,1278.940667,139542.0672,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 11_Project Maximum Z.tif:2,11.733,7542.926,3631,2215,32819,88503.662,5105,4978331,2,1322.743,1377.027,1421.056,1373.608667,72387.11151,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 12_Project Maximum Z.tif:2,14.542,8149.193,4111,1688,41730,118507.378,4713,6666040,2,1244.539,1279.923,1260.545,1261.669,100160.1874,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Post-dauer,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_SDS_PD - 13_Project Maximum Z.tif:2,13.262,7813.196,2956,1857,44677,103620.338,4323,5828644,2,1234.42,1258.792,1257.726,1250.312667,87038.69141,,,,,,,,,,,,,,,,,,,,
