Date,Strain ID,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Slice,Mean 1,Mean 2,Mean 3,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 4_Project Maximum Z.tif:2,10.4,4404.885,2148,1455,14313,45810.809,2832,2576858,2,,1252.327,1239.811,1235.976,1242.704667,2563933.871,32886.68047,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 5_Project Maximum Z.tif:2,7.147,4785.301,1701,1499,14451,34198.951,2874,1923691,2,,1251.377,1224.912,1225.899,1234.062667,1914871.154,25379.10512,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 6_Project Maximum Z.tif:2,9.316,3330.25,1736,1435,9596,31023.129,2503,1745051,2,,1265.488,1300.69,1261.214,1275.797333,1733165.672,19137.80104,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 7_Project Maximum Z.tif:2,16.427,3599.538,1723,1332,13222,59128.409,2568,3325973,2,,1216.594,1289.597,1201.799,1235.996667,3305669.283,38824.69176,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 8_Project Maximum Z.tif:2,12.533,5021.252,2854,1531,18332,62933.031,3289,3539983,2,,1230.747,1243.967,1259.208,1244.640667,3524383.919,47333.94952,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 9_Project Maximum Z.tif:2,16.818,4020.505,1444,1287,12385,67615.964,3147,3803398,2,,1227.283,1211.057,1241.156,1226.498667,3782770.745,46988.70942,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 10_Project Maximum Z.tif:2,15.929,4414.235,1410,1320,14820,70313.867,3508,3955155,2,,1247.094,1253.74,1247.761,1249.531667,3935251.21,50410.07708,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 11_Project Maximum Z.tif:2,14.791,5418.329,2428,1446,21294,80143.111,3063,4508050,2,,1234.766,1219.52,1224.983,1226.423,4489909.977,62003.08841,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD_Project Maximum Z.tif:2,11.307,6457.006,4837,1688,26890,73007.218,4297,4106656,2,,1252.738,1281.933,1268.491,1267.720667,4092321.882,58673.10042,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 1_Project Maximum Z.tif:2,15.378,4576.397,1785,1302,13517,70374.809,3153,3958583,2,,1197.842,1212.798,1238.723,1216.454333,3939876.365,51668.17426,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 2_Project Maximum Z.tif:2,16.729,5596.179,2192,1760,22201,93617.849,3759,5266004,2,,1272.794,1251.547,1265.981,1263.440667,5244867.901,72481.75009,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 3_Project Maximum Z.tif:2,16.569,3617.565,1794,1338,13608,59939.04,2596,3371571,2,,1264.045,1224.419,1230.222,1239.562,3351032.697,39400.73722,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 4_Project Maximum Z.tif:2,14.453,4025.198,1615,1330,13675,58177.529,2882,3272486,2,,1259.179,1242.192,1300.81,1267.393667,3254168.359,39859.88834,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 5_Project Maximum Z.tif:2,7.556,4891.212,2020,1515,12915,36955.822,3166,2078765,2,,1200.848,1217.899,1219.855,1212.867333,2069600.574,27791.39643,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 6_Project Maximum Z.tif:2,15.111,4725.095,1449,1371,15762,71401.44,3121,4016331,2,,1220.653,1230.53,1218.754,1223.312333,3997845.527,52915.96733,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 7_Project Maximum Z.tif:2,17.6,4799.279,2546,1382,15731,84467.307,3053,4751286,2,,1212.575,1207.806,1215.964,1212.115,4729952.776,63134.083,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 8_Project Maximum Z.tif:2,19.218,4739.373,1720,1370,18301,91080.213,2682,5123262,2,,1222.432,1265.199,1210.36,1232.663667,5099572.67,67390.88265,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 9_Project Maximum Z.tif:2,12.409,7179.229,2716,1758,29575,89086.258,4221,5011102,2,,1254.819,1269.439,1253.58,1259.279333,4995475.603,73459.86075,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 10_Project Maximum Z.tif:2,7.076,3344.043,3064,1642,6536,23660.96,3048,1330929,2,,1213.182,1202.132,1202.062,1205.792,1322396.816,15128.77581,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 11_Project Maximum Z.tif:2,19.076,6890.922,2132,1380,30172,131448.16,3503,7393959,2,,1242.341,1226.447,1257.189,1241.992333,7370266.754,107755.9142,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 12_Project Maximum Z.tif:2,15.964,4522.756,1920,1444,21731,72203.289,2673,4061435,2,,1242.367,1233.25,1238.013,1237.876667,4041673.537,52441.82589,,,,,,,,,,,,,,,,,,,,
20210805,PY12004,Post-dauer,NGM,20210805_AP220_odr-10-splitgfp_SDS_PD - 13_Project Maximum Z.tif:2,11.502,8287.938,2419,2016,31910,95329.707,5071,5362296,2,,1268.174,1254.816,1278.978,1267.322667,5347719.255,80752.96169,,,,,,,,,,,,,,,,,,,,
